Player,Position,Years_Active,Teams,PPG,RPG,APG,MVP_Count,DPOY_Count,FMVP_Count,ROY_Count,Accolades
Adrian Dantley,F-G,1977-1991,"BUF, Pacers, Lakers, Jazz, Pistons, Mavs, Bucks",57,19,11,0,0,0,1,Hall of Fame; 6x All Star; 2x Scoring Champ; 2x All-NBA; 1976-77 All-Rookie; 1976-77 ROY
Alex English,F,1977-1991,"Bucks, Pacers, Nuggets, Mavs",54,20,16,0,0,0,0,Hall of Fame; 8x All Star; 1982-83 Scoring Champ; 3x All-NBA
Alex Groza,C,1950-1951,INO,43,23,8,0,0,0,1,1x All Star; 2x All-NBA; 1949-50 ROY *
Allen Iverson,G,1997-2010,"76ers, Nuggets, Pistons, Grizzlies",60,11,16,1,0,0,1,Hall of Fame; 11x All Star; 4x Scoring Champ; 3x STL Champ; 7x All-NBA; 1996-97 All-Rookie; 1996-97 ROY; 2x AS MVP; 2000-01 MVP; NBA 75th Anniv. Team
Alonzo Mourning,C-F,1993-2008,"Hornets, Heat, Nets",50,22,7,0,2,0,0,Hall of Fame; 7x All Star; 2x BLK Champ; 2006 NBA Champ; 2x All-NBA; 1992-93 All-Rookie; 2x All-Defensive; 2x Def. POY
Alvan Adams,C-F,1976-1988,Suns,47,19,13,0,0,0,1,1x All Star; 1975-76 All-Rookie; 1975-76 ROY
Alvin Robertson,G,1985-1996,"Spurs, Bucks, Pistons, Raptors",41,16,17,0,1,0,0,4x All Star; 3x STL Champ; 1985-86 All-NBA; 6x All-Defensive; 1985-86 Def. POY; 1985-86 Most Improved
Amar'e Stoudemire,F-C,2003-2016,"Suns, Knicks, Mavs, Heat",50,23,8,0,0,0,1,6x All Star; 5x All-NBA; 2002-03 All-Rookie; 2002-03 ROY
Andre Drummond,C,2013-2026,"Pistons, Cavs, Lakers, 76ers, Nets, Bulls",33,29,8,0,0,0,0,2x All Star; 4x TRB Champ; 2015-16 All-NBA; 2012-13 All-Rookie
Andre Iguodala,F-G,2005-2023,"76ers, Nuggets, Warriors, Heat",34,17,16,0,0,1,0,1x All Star; 4x NBA Champ; 2004-05 All-Rookie; 2x All-Defensive; 2014-15 Finals MVP
Andre Miller,G,2000-2016,"Cavs, LAC, Nuggets, 76ers, Blazers, Wizards, Kings, Timberwolves, Spurs",52,12,22,0,0,0,0,2001-02 AST Champ; 1999-00 All-Rookie
Andrew Wiggins,F-G,2015-2026,"Timberwolves, Warriors, Heat",47,13,11,0,0,0,1,1x All Star; 2022 NBA Champ; 2014-15 ROY; 2014-15 All-Rookie
Andy Phillip,G-F,1948-1958,"Stags, PHW, Pistons, Celtics",30,15,19,0,0,0,0,Hall of Fame; 5x All Star; 2x AST Champ; 1957 NBA Champ; 2x All-NBA
Ben Simmons,G-F,2018-2025,"76ers, Nets, LAC",42,22,17,0,0,0,1,3x All Star; 2019-20 STL Champ; 2019-20 All-NBA; 2017-18 All-Rookie; 2017-18 ROY; 2x All-Defensive
Ben Wallace,F-C,1997-2012,"Bullets, Wizards, Magic, Pistons, Bulls, Cavs, WAS,WSB",23,28,8,0,4,0,0,Hall of Fame; 4x All Star; 2x TRB Champ; 2001-02 BLK Champ; 2004 NBA Champ; 5x All-NBA; 6x All-Defensive; 4x Def. POY
Bernard King,F,1978-1993,"Nets, Jazz, Warriors, Knicks, Bullets",60,18,14,0,0,0,0,Hall of Fame; 4x All Star; 1984-85 Scoring Champ; 4x All-NBA; 1977-78 All-Rookie
Bill Laimbeer,C,1981-1994,"Cavs, Pistons",35,24,11,0,0,0,0,4x All Star; 1985-86 TRB Champ; 2x NBA Champ
Bill Russell,C,1957-1969,Celtics,37,51,13,5,0,0,0,Hall of Fame; 12x All Star; 4x TRB Champ; 11x NBA Champ; 11x All-NBA; 5x MVP; 1962-63 AS MVP; 1968-69 All-Defensive; NBA 75th Anniv. Team; 4x USBWA MVP; 2x MBWA NBA MVP
Bill Walton,C-F,1975-1987,"Blazers, SDC, LAC, Celtics, LAC,SDC",36,26,14,1,0,1,0,Hall of Fame; 2x All Star; 1976-77 TRB Champ; 1976-77 BLK Champ; 2x NBA Champ; 2x All-NBA; 2x All-Defensive; 1976-77 Finals MVP; 1977-78 MVP; 1985-86 Sixth Man; NBA 75th Anniv. Team
Blake Griffin,F-C,2011-2023,"LAC, Pistons, Nets, Celtics",50,20,12,0,0,0,1,6x All Star; 5x All-NBA; 2010-11 All-Rookie; 2010-11 ROY
