Year,Champion,Runner-Up,MVP,DPOY,Finals MVP,ROY,Scoring Leader,Assists Leader,Rebound Leader
1948,Bullets,Warriors,nan,nan,nan,Paul Hoffman,nan,nan,nan
1949,Lakers,Capitols,nan,nan,nan,Howie Shannon,nan,nan,nan
1950,Lakers,76ers,nan,nan,nan,Alex Groza,George Mikan,Andy Phillip,nan
1951,Kings,Knicks,nan,nan,nan,Paul Arizin,George Mikan,Andy Phillip,Dolph Schayes
1952,Lakers,Knicks,nan,nan,nan,Mel Hutchins (Tie),Paul Arizin,Andy Phillip,George Mikan
1952,Lakers,Knicks,nan,nan,nan,Bill Tosheff (Tie),Paul Arizin,Andy Phillip,George Mikan
1953,Lakers,Knicks,nan,nan,nan,Monk Meineke,Neil Johnston,Bob Cousy,George Mikan
1954,Lakers,76ers,nan,nan,nan,Ray Felix,Neil Johnston,Bob Cousy,Harry Gallatin
1955,76ers,Pistons,nan,nan,nan,Bob Pettit,Neil Johnston,Bob Cousy,Neil Johnston
1956,Warriors,Pistons,Bob Pettit,nan,nan,Maurice Stokes,Bob Pettit,Bob Cousy,Maurice Stokes
1957,Celtics,Hawks,Bob Cousy,nan,nan,Tom Heinsohn,Paul Arizin,Bob Cousy,Bill Russell
1958,Hawks,Celtics,Bill Russell,nan,nan,Woody Sauldsberry,George Yardley,Bob Cousy,Bill Russell
1959,Celtics,Lakers,Bob Pettit,nan,nan,Elgin Baylor,Bob Pettit,Bob Cousy,Bill Russell
1960,Celtics,Hawks,Wilt Chamberlain,nan,nan,Wilt Chamberlain,Wilt Chamberlain,Bob Cousy,Wilt Chamberlain
1961,Celtics,Hawks,Bill Russell,nan,nan,Oscar Robertson,Wilt Chamberlain,Oscar Robertson,Wilt Chamberlain
1962,Celtics,Lakers,Bill Russell,nan,nan,Walt Bellamy,Wilt Chamberlain,Oscar Robertson,Wilt Chamberlain
1963,Celtics,Lakers,Bill Russell,nan,nan,Terry Dischinger,Wilt Chamberlain,Guy Rodgers,Wilt Chamberlain
1964,Celtics,Warriors,Oscar Robertson,nan,nan,Jerry Lucas,Wilt Chamberlain,Oscar Robertson,Bill Russell
1965,Celtics,Lakers,Bill Russell,nan,nan,Willis Reed,Wilt Chamberlain,Oscar Robertson,Bill Russell
1966,Celtics,Lakers,Wilt Chamberlain,nan,nan,Rick Barry,Wilt Chamberlain,Oscar Robertson,Wilt Chamberlain
1967,76ers,Warriors,Wilt Chamberlain,nan,nan,Dave Bing,Rick Barry,Guy Rodgers,Wilt Chamberlain
1968,Celtics,Lakers,Wilt Chamberlain,nan,nan,Earl Monroe,Oscar Robertson,Oscar Robertson,Wilt Chamberlain
1969,Celtics,Lakers,Wes Unseld,nan,Jerry West,Wes Unseld,Elvin Hayes,Oscar Robertson,Wilt Chamberlain
1970,Knicks,Lakers,Willis Reed,nan,Willis Reed,Kareem Abdul-Jabbar,Jerry West,Lenny Wilkens,Elvin Hayes
1971,Bucks,Bullets,Kareem Abdul-Jabbar,nan,Kareem Abdul-Jabbar,Geoff Petrie (Tie),Kareem Abdul-Jabbar,Norm Van Lier,Wilt Chamberlain
1971,Bucks,Bullets,Kareem Abdul-Jabbar,nan,Kareem Abdul-Jabbar,Dave Cowens (Tie),Kareem Abdul-Jabbar,Norm Van Lier,Wilt Chamberlain
1972,Lakers,Knicks,Kareem Abdul-Jabbar,nan,Wilt Chamberlain,Sidney Wicks,Kareem Abdul-Jabbar,Jerry West,Wilt Chamberlain
1973,Knicks,Lakers,Dave Cowens,nan,Willis Reed,Bob McAdoo,Tiny Archibald,Tiny Archibald,Wilt Chamberlain
1974,Celtics,Bucks,Kareem Abdul-Jabbar,nan,John Havlicek,Ernie DiGregorio,Bob McAdoo,Ernie DiGregorio,Elvin Hayes
1975,Warriors,Bullets,Bob McAdoo,nan,Rick Barry,Jamaal Wilkes,Bob McAdoo,Kevin Porter,Wes Unseld
1976,Celtics,Suns,Kareem Abdul-Jabbar,nan,Jo Jo White,Alvan Adams,Bob McAdoo,Slick Watts,Kareem Abdul-Jabbar
1977,Blazers,76ers,Kareem Abdul-Jabbar,nan,Bill Walton,Adrian Dantley,Pete Maravich,Don Buse,Bill Walton
1978,Bullets,Sonics,Bill Walton,nan,Wes Unseld,Walter Davis,George Gervin,Kevin Porter,Truck Robinson
1979,Sonics,Bullets,Moses Malone,nan,Dennis Johnson,Phil Ford,George Gervin,Kevin Porter,Moses Malone
1980,Lakers,76ers,Kareem Abdul-Jabbar,nan,Magic Johnson,Larry Bird,George Gervin,Michael Ray Richardson,Swen Nater
1981,Celtics,Rockets,Julius Erving,nan,Cedric Maxwell,Darrell Griffith,Adrian Dantley,Kevin Porter,Moses Malone
1982,Lakers,76ers,Moses Malone,nan,Magic Johnson,Buck Williams,George Gervin,Johnny Moore,Moses Malone
1983,76ers,Lakers,Moses Malone,Sidney Moncrief,Moses Malone,Terry Cummings,Alex English,Magic Johnson,Moses Malone
1984,Celtics,Lakers,Larry Bird,Sidney Moncrief,Larry Bird,Ralph Sampson,Adrian Dantley,Magic Johnson,Moses Malone
1985,Lakers,Celtics,Larry Bird,Mark Eaton,Kareem Abdul-Jabbar,Michael Jordan,Bernard King,Isiah Thomas,Moses Malone
1986,Celtics,Rockets,Larry Bird,Alvin Robertson,Larry Bird,Patrick Ewing,Dominique Wilkins,Magic Johnson,Bill Laimbeer
1987,Lakers,Celtics,Magic Johnson,Michael Cooper,Magic Johnson,Chuck Person,Michael Jordan,Magic Johnson,Charles Barkley
1988,Lakers,Pistons,Michael Jordan,Michael Jordan,James Worthy,Mark Jackson,Michael Jordan,John Stockton,Michael Cage
1989,Pistons,Lakers,Magic Johnson,Mark Eaton,Joe Dumars,Mitch Richmond,Michael Jordan,John Stockton,Hakeem Olajuwon
1990,Pistons,Blazers,Magic Johnson,Dennis Rodman,Isiah Thomas,David Robinson,Michael Jordan,John Stockton,Hakeem Olajuwon
1991,Bulls,Lakers,Michael Jordan,Dennis Rodman,Michael Jordan,Derrick Coleman,Michael Jordan,John Stockton,David Robinson
1992,Bulls,Blazers,Michael Jordan,David Robinson,Michael Jordan,Larry Johnson,Michael Jordan,John Stockton,Dennis Rodman
1993,Bulls,Suns,Charles Barkley,Hakeem Olajuwon,Michael Jordan,Shaquille O'Neal,Michael Jordan,John Stockton,Dennis Rodman
1994,Rockets,Knicks,Hakeem Olajuwon,Hakeem Olajuwon,Hakeem Olajuwon,Chris Webber,David Robinson,John Stockton,Dennis Rodman
1995,Rockets,Magic,David Robinson,Dikembe Mutombo,Hakeem Olajuwon,Jason Kidd (Tie),Shaquille O'Neal,John Stockton,Dennis Rodman
1995,Rockets,Magic,David Robinson,Dikembe Mutombo,Hakeem Olajuwon,Grant Hill (Tie),Shaquille O'Neal,John Stockton,Dennis Rodman
1996,Bulls,Sonics,Michael Jordan,Gary Payton,Michael Jordan,Damon Stoudamire,Michael Jordan,John Stockton,Dennis Rodman
1997,Bulls,Jazz,Karl Malone,Dikembe Mutombo,Michael Jordan,Allen Iverson,Michael Jordan,Mark Jackson,Dennis Rodman
1998,Bulls,Jazz,Michael Jordan,Dikembe Mutombo,Michael Jordan,Tim Duncan,Michael Jordan,Rod Strickland,Dennis Rodman
1999,Spurs,Knicks,Karl Malone,Alonzo Mourning,Tim Duncan,Vince Carter,Allen Iverson,Jason Kidd,Chris Webber
2000,Lakers,Pacers,Shaquille O'Neal,Alonzo Mourning,Shaquille O'Neal,Steve Francis (Tie),Shaquille O'Neal,Jason Kidd,Dikembe Mutombo
